Participant_ID,Condition,G1,G2,G3,G4,G5,P1,P2,P3,P4,P5
1,Empathetic,5,5,4,2,5,5,5,5,3,5
2,Empathetic,4,4,3,4,4,4,5,4,4,5
3,Empathetic,4,5,4,4,5,4,4,5,5,5
4,Empathetic,2,3,2,4,3,2,3,2,4,3
5,Empathetic,5,5,5,5,5,5,5,5,5,5
6,Empathetic,4,4,4,4,4,4,4,4,4,4
7,Empathetic,5,5,5,5,4,5,5,5,5,4
8,Empathetic,2,3,3,2,3,3,2,3,2,3
9,Empathetic,5,5,4,4,5,5,5,4,4,5
10,Empathetic,4,4,4,5,4,4,4,4,5,4
11,Empathetic,5,5,5,5,5,5,5,5,5,5
12,Empathetic,4,4,4,4,5,4,4,4,4,5
13,Neutral,2,2,2,4,2,2,2,3,4,2
14,Neutral,4,4,4,3,4,4,4,4,4,5
15,Neutral,1,2,2,2,2,2,2,1,2,2
16,Neutral,2,2,2,3,2,3,3,2,3,3
17,Neutral,2,2,1,2,2,2,2,2,2,2
18,Neutral,1,1,1,2,1,1,1,1,2,1
19,Neutral,4,5,4,4,5,5,4,4,5,4
20,Neutral,1,2,2,2,2,2,2,2,3,2
21,Neutral,2,2,3,4,2,3,3,3,2,3
22,Neutral,2,2,1,1,2,2,2,2,2,1
23,Neutral,2,2,2,2,3,2,2,2,3,2
24,Neutral,1,1,1,2,1,2,2,1,1,2
